event_id,client_id,visited
1,1,true
2,101,true
3,201,true
4,301,true
5,401,true
6,501,true
7,601,true
8,701,true
9,801,true
10,901,true
11,1001,true
12,1101,true
13,1201,true
14,1301,true
15,1401,true
16,1501,true
17,1601,true
18,1701,true
19,1801,true
20,1901,true
21,2001,true
22,2101,true
23,2201,true
24,2301,true
25,2401,true
26,2501,true
27,2601,true
28,2701,true
29,2801,true
30,2901,true
31,3001,true
32,3101,true
33,3201,true
34,3301,true
35,3401,true
36,3501,true
37,3601,true
38,3701,true
39,3801,true
40,3901,true
41,4001,true
42,4101,true
43,4201,true
44,4301,true
45,4401,true
46,4501,true
47,4601,true
48,4701,true
49,4801,true
50,4901,true
51,5001,true
52,5101,true
53,5201,true
54,5301,true
55,5401,true
56,5501,true
57,5601,true
58,5701,true
59,5801,true
60,5901,true
61,6001,true
62,6101,true
63,6201,true
64,6301,true
65,6401,true
66,6501,true
67,6601,true
68,6701,true
69,6801,true
70,6901,true
71,7001,true
72,7101,true
73,7201,true
74,7301,true
75,7401,true
76,7501,true
77,7601,true
78,7701,true
79,7801,true
80,7901,true
81,8001,true
82,8101,true
83,8201,true
84,8301,true
85,8401,true
86,8501,true
87,8601,true
88,8701,true
89,8801,true
90,8901,true
91,9001,true
92,9101,true
93,9201,true
94,9301,true
95,9401,true
96,9501,true
97,9601,true
98,9701,true
99,9801,true
100,9901,true
1,2,true
2,102,true
3,202,true
4,302,true
5,402,true
6,502,true
7,602,true
8,702,true
9,802,true
10,902,true
11,1002,true
12,1102,true
13,1202,true
14,1302,true
15,1402,true
16,1502,true
17,1602,true
18,1702,true
19,1802,true
20,1902,true
21,2002,true
22,2102,true
23,2202,true
24,2302,true
25,2402,true
26,2502,true
27,2602,true
28,2702,true
29,2802,true
30,2902,true
31,3002,true
32,3102,true
33,3202,true
34,3302,true
35,3402,true
36,3502,true
37,3602,true
38,3702,true
39,3802,true
40,3902,true
41,4002,true
42,4102,true
43,4202,true
44,4302,true
45,4402,true
46,4502,true
47,4602,true
48,4702,true
49,4802,true
50,4902,true
51,5002,true
52,5102,true
53,5202,true
54,5302,true
55,5402,true
56,5502,true
57,5602,true
58,5702,true
59,5802,true
60,5902,true
61,6002,true
62,6102,true
63,6202,true
64,6302,true
65,6402,true
66,6502,true
67,6602,true
68,6702,true
69,6802,true
70,6902,true
71,7002,true
72,7102,true
73,7202,true
74,7302,true
75,7402,true
76,7502,true
77,7602,true
78,7702,true
79,7802,true
80,7902,true
81,8002,true
82,8102,true
83,8202,true
84,8302,true
85,8402,true
86,8502,true
87,8602,true
88,8702,true
89,8802,true
90,8902,true
91,9002,true
92,9102,true
93,9202,true
94,9302,true
95,9402,true
96,9502,true
97,9602,true
98,9702,true
99,9802,true
100,9902,true
1,3,true
2,103,true
3,203,true
4,303,true
5,403,true
6,503,true
7,603,true
8,703,true
9,803,true
10,903,true
11,1003,true
12,1103,true
13,1203,true
14,1303,true
15,1403,true
16,1503,true
17,1603,true
18,1703,true
19,1803,true
20,1903,true
21,2003,true
22,2103,true
23,2203,true
24,2303,true
25,2403,true
26,2503,true
27,2603,true
28,2703,true
29,2803,true
30,2903,true
31,3003,true
32,3103,true
33,3203,true
34,3303,true
35,3403,true
36,3503,true
37,3603,true
38,3703,true
39,3803,true
40,3903,true
41,4003,true
42,4103,true
43,4203,true
44,4303,true
45,4403,true
46,4503,true
47,4603,true
48,4703,true
49,4803,true
50,4903,true
51,5003,true
52,5103,true
53,5203,true
54,5303,true
55,5403,true
56,5503,true
57,5603,true
58,5703,true
59,5803,true
60,5903,true
61,6003,true
62,6103,true
63,6203,true
64,6303,true
65,6403,true
66,6503,true
67,6603,true
68,6703,true
69,6803,true
70,6903,true
71,7003,true
72,7103,true
73,7203,true
74,7303,true
75,7403,true
76,7503,true
77,7603,true
78,7703,true
79,7803,true
80,7903,true
81,8003,true
82,8103,true
83,8203,true
84,8303,true
85,8403,true
86,8503,true
87,8603,true
88,8703,true
89,8803,true
90,8903,true
91,9003,true
92,9103,true
93,9203,true
94,9303,true
95,9403,true
96,9503,true
97,9603,true
98,9703,true
99,9803,true
100,9903,true
1,4,true
2,104,true
3,204,true
4,304,true
5,404,true
6,504,true
7,604,true
8,704,true
9,804,true
10,904,true
11,1004,true
12,1104,true
13,1204,true
14,1304,true
15,1404,true
16,1504,true
17,1604,true
18,1704,true
19,1804,true
20,1904,true
21,2004,true
22,2104,true
23,2204,true
24,2304,true
25,2404,true
26,2504,true
27,2604,true
28,2704,true
29,2804,true
30,2904,true
31,3004,true
32,3104,true
33,3204,true
34,3304,true
35,3404,true
36,3504,true
37,3604,true
38,3704,true
39,3804,true
40,3904,true
41,4004,true
42,4104,true
43,4204,true
44,4304,true
45,4404,true
46,4504,true
47,4604,true
48,4704,true
49,4804,true
50,4904,true
51,5004,true
52,5104,true
53,5204,true
54,5304,true
55,5404,true
56,5504,true
57,5604,true
58,5704,true
59,5804,true
60,5904,true
61,6004,true
62,6104,true
63,6204,true
64,6304,true
65,6404,true
66,6504,true
67,6604,true
68,6704,true
69,6804,true
70,6904,true
71,7004,true
72,7104,true
73,7204,true
74,7304,true
75,7404,true
76,7504,true
77,7604,true
78,7704,true
79,7804,true
80,7904,true
81,8004,true
82,8104,true
83,8204,true
84,8304,true
85,8404,true
86,8504,true
87,8604,true
88,8704,true
89,8804,true
90,8904,true
91,9004,true
92,9104,true
93,9204,true
94,9304,true
95,9404,true
96,9504,true
97,9604,true
98,9704,true
99,9804,true
100,9904,true
1,5,true
2,105,true
3,205,true
4,305,true
5,405,true
6,505,true
7,605,true
8,705,true
9,805,true
10,905,true
11,1005,true
12,1105,true
13,1205,true
14,1305,true
15,1405,true
16,1505,true
17,1605,true
18,1705,true
19,1805,true
20,1905,true
21,2005,true
22,2105,true
23,2205,true
24,2305,true
25,2405,true
26,2505,true
27,2605,true
28,2705,true
29,2805,true
30,2905,true
31,3005,true
32,3105,true
33,3205,true
34,3305,true
35,3405,true
36,3505,true
37,3605,true
38,3705,true
39,3805,true
40,3905,true
41,4005,true
42,4105,true
43,4205,true
44,4305,true
45,4405,true
46,4505,true
47,4605,true
48,4705,true
49,4805,true
50,4905,true
51,5005,true
52,5105,true
53,5205,true
54,5305,true
55,5405,true
56,5505,true
57,5605,true
58,5705,true
59,5805,true
60,5905,true
61,6005,true
62,6105,true
63,6205,true
64,6305,true
65,6405,true
66,6505,true
67,6605,true
68,6705,true
69,6805,true
70,6905,true
71,7005,true
72,7105,true
73,7205,true
74,7305,true
75,7405,true
76,7505,true
77,7605,true
78,7705,true
79,7805,true
80,7905,true
81,8005,true
82,8105,true
83,8205,true
84,8305,true
85,8405,true
86,8505,true
87,8605,true
88,8705,true
89,8805,true
90,8905,true
91,9005,true
92,9105,true
93,9205,true
94,9305,true
95,9405,true
96,9505,true
97,9605,true
98,9705,true
99,9805,true
100,9905,true
1,6,true
2,106,true
3,206,true
4,306,true
5,406,true
6,506,true
7,606,true
8,706,true
9,806,true
10,906,true
11,1006,true
12,1106,true
13,1206,true
14,1306,true
15,1406,true
16,1506,true
17,1606,true
18,1706,true
19,1806,true
20,1906,true
21,2006,true
22,2106,true
23,2206,true
24,2306,true
25,2406,true
26,2506,true
27,2606,true
28,2706,true
29,2806,true
30,2906,true
31,3006,true
32,3106,true
33,3206,true
